1,Bing Crosby,White Christmas,1942,39.903,23.929,5.7,2.185,0.54
2,Bill Haley & his Comets,Rock Around the Clock,1955,36.503,19.961,7.458,5.663,0.76
3,Celine Dion,My Heart Will Go On,1998,35.405,12.636,8.944,23.701,3.61
4,Sinead O'Connor,Nothing Compares 2 U,1990,35.135,14.582,10.242,23.747,2.733
5,The Beatles,Hey Jude,1968,34.442,25.545,16.39,16.541,1.51
6,Bryan Adams,(Everything I Do) I Do it For You,1991,34.367,16.523,12.368,23.194,3.121
7,Whitney Houston,I Will Always Love You,1992,34.112,14.873,11.29,20.753,4.46
8,Pink Floyd,Another Brick in the Wall (part 2),1980,32.02,13.081,13.339,23.347,1.553
9,Irene Cara,Flashdance... What a Feeling,1983,31.305,15.18,11.115,17.803,2.686
10,Elton John,Candle in the Wind '97,1997,31.054,7.412,12.394,20.358,3.189
11,The Rolling Stones,(I Can't Get No) Satisfaction,1965,31.054,22.926,10.258,11.252,0.556
12,Coolio,Gangsta's Paradise,1995,30.822,11.036,8.073,22.988,1.073
13,Eminem,Lose Yourself,2002,30.554,12.994,7.143,15.69,2.083
14,Cher,Believe,1998,30.065,9.418,10.894,20.888,1.872
15,Usher,Yeah!,2004,29.535,14.647,8.4,13.727,1
16,The Beatles,Let it Be,1970,29.443,16.881,13.234,15.888,2.231
17,Procol Harum,A Whiter Shade of Pale,1967,29.428,12.018,15.602,16.833,0.558
18,Bee Gees,Stayin' Alive,1978,29.347,16.16,12.874,17.865,0.571
19,Leona Lewis,Bleeding Love,2008,29.316,9.512,10.05,16.324,1.076
20,The Police,Every Breath You Take,1983,28.976,17.905,11.434,10.774,1.177
21,Kim Carnes,Bette Davis Eyes,1981,28.919,16.184,7.289,19.735,1.5
22,Rihanna & Jay-Z,Umbrella,2007,28.653,11.117,8.833,14.706,1.611
23,George Harrison,My Sweet Lord,1971,27.598,11.705,14.644,18.002,1.085
24,Abba,Dancing Queen,1976,27.582,13.63,14.391,16.401,0.537
25,P Diddy & Faith Evans,I'll Be Missing You,1997,27.543,6.84,8.92,21.66,2.771
26,Britney Spears,Baby One More Time,1999,27.487,6.937,10.629,22.005,1.853
27,The Beatles,I Want to Hold Your Hand,1964,27.47,23.042,9.171,8.192,1.01
28,Michael Jackson,Billie Jean,1983,27.395,12.399,11.737,19.01,1.01
29,Bobby Darin,Mack the Knife,1959,27.33,19.36,5.583,3.74,0.55
30,John Travolta & Olivia Newton-John,You're the One That I Want,1978,26.79,8.046,14.992,22.145,0.555
